Long,Lat,,,
151.011308,-33.706361,"{ lat: -33.706361, lng: 151.011308},","151.011308 -33.706361,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.011308, -33.706361, geography::STPointFromText('POINT(151.011308 -33.706361)', 4326));"
151.01186,-33.705629,"{ lat: -33.705629, lng: 151.01186},","151.01186 -33.705629,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.01186, -33.705629, geography::STPointFromText('POINT(151.01186 -33.705629)', 4326));"
151.013661,-33.704848,"{ lat: -33.704848, lng: 151.013661},","151.013661 -33.704848,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.013661, -33.704848, geography::STPointFromText('POINT(151.013661 -33.704848)', 4326));"
151.014407,-33.704136,"{ lat: -33.704136, lng: 151.014407},","151.014407 -33.704136,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.014407, -33.704136, geography::STPointFromText('POINT(151.014407 -33.704136)', 4326));"
151.016005,-33.698225,"{ lat: -33.698225, lng: 151.016005},","151.016005 -33.698225,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.016005, -33.698225, geography::STPointFromText('POINT(151.016005 -33.698225)', 4326));"
151.016337,-33.697449,"{ lat: -33.697449, lng: 151.016337},","151.016337 -33.697449,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.016337, -33.697449, geography::STPointFromText('POINT(151.016337 -33.697449)', 4326));"
151.017913,-33.695102,"{ lat: -33.695102, lng: 151.017913},","151.017913 -33.695102,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.017913, -33.695102, geography::STPointFromText('POINT(151.017913 -33.695102)', 4326));"
151.018931,-33.69402,"{ lat: -33.69402, lng: 151.018931},","151.018931 -33.69402,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.018931, -33.69402, geography::STPointFromText('POINT(151.018931 -33.69402)', 4326));"
151.01962,-33.69374,"{ lat: -33.69374, lng: 151.01962},","151.01962 -33.69374,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.01962, -33.69374, geography::STPointFromText('POINT(151.01962 -33.69374)', 4326));"
151.02059,-33.693893,"{ lat: -33.693893, lng: 151.02059},","151.02059 -33.693893,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.02059, -33.693893, geography::STPointFromText('POINT(151.02059 -33.693893)', 4326));"
151.021744,-33.694466,"{ lat: -33.694466, lng: 151.021744},","151.021744 -33.694466,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.021744, -33.694466, geography::STPointFromText('POINT(151.021744 -33.694466)', 4326));"
151.023472,-33.695678,"{ lat: -33.695678, lng: 151.023472},","151.023472 -33.695678,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.023472, -33.695678, geography::STPointFromText('POINT(151.023472 -33.695678)', 4326));"
151.024107,-33.695899,"{ lat: -33.695899, lng: 151.024107},","151.024107 -33.695899,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.024107, -33.695899, geography::STPointFromText('POINT(151.024107 -33.695899)', 4326));"
151.030217,-33.696013,"{ lat: -33.696013, lng: 151.030217},","151.030217 -33.696013,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.030217, -33.696013, geography::STPointFromText('POINT(151.030217 -33.696013)', 4326));"
151.030387,-33.695801,"{ lat: -33.695801, lng: 151.030387},","151.030387 -33.695801,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.030387, -33.695801, geography::STPointFromText('POINT(151.030387 -33.695801)', 4326));"
151.03065,-33.69582,"{ lat: -33.69582, lng: 151.03065},","151.03065 -33.69582,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.03065, -33.69582, geography::STPointFromText('POINT(151.03065 -33.69582)', 4326));"
151.03125,-33.695109,"{ lat: -33.695109, lng: 151.03125},","151.03125 -33.695109,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.03125, -33.695109, geography::STPointFromText('POINT(151.03125 -33.695109)', 4326));"
