Long,Lat,,,
150.97349,-33.423126,0,,"{ lng: 150.97349, lat: -33.423126 },"
150.972973,-33.422761,0,,"{ lng: 150.972973, lat: -33.422761 },"
150.972515,-33.422267,0,,"{ lng: 150.972515, lat: -33.422267 },"
150.972044,-33.421377,0,,"{ lng: 150.972044, lat: -33.421377 },"
150.971946,-33.420429,0,,"{ lng: 150.971946, lat: -33.420429 },"
150.972069,-33.419866,0,,"{ lng: 150.972069, lat: -33.419866 },"
150.972665,-33.418042,0,,"{ lng: 150.972665, lat: -33.418042 },"
150.97331,-33.416753,0,,"{ lng: 150.97331, lat: -33.416753 },"
150.974023,-33.416219,0,,"{ lng: 150.974023, lat: -33.416219 },"
150.974905,-33.41597,0,,"{ lng: 150.974905, lat: -33.41597 },"
150.975931,-33.415317,0,,"{ lng: 150.975931, lat: -33.415317 },"
150.977712,-33.413586,0,,"{ lng: 150.977712, lat: -33.413586 },"
150.979878,-33.412134,0,,"{ lng: 150.979878, lat: -33.412134 },"
150.979974,-33.411526,0,,"{ lng: 150.979974, lat: -33.411526 },"
150.979202,-33.410561,0,,"{ lng: 150.979202, lat: -33.410561 },"
150.978963,-33.409355,0,,"{ lng: 150.978963, lat: -33.409355 },"
150.980538,-33.408589,0,,"{ lng: 150.980538, lat: -33.408589 },"
150.983028,-33.406098,0,,"{ lng: 150.983028, lat: -33.406098 },"
150.983221,-33.405681,0,,"{ lng: 150.983221, lat: -33.405681 },"
150.983181,-33.404831,0,,"{ lng: 150.983181, lat: -33.404831 },"
150.983367,-33.404341,0,,"{ lng: 150.983367, lat: -33.404341 },"
150.98438,-33.403572,0,,"{ lng: 150.98438, lat: -33.403572 },"
150.98571,-33.401574,0,,"{ lng: 150.98571, lat: -33.401574 },"
150.985735,-33.40076,0,,"{ lng: 150.985735, lat: -33.40076 },"
150.985376,-33.399248,0,,"{ lng: 150.985376, lat: -33.399248 },"
150.98555,-33.398938,0,,"{ lng: 150.98555, lat: -33.398938 },"
150.986436,-33.398191,0,,"{ lng: 150.986436, lat: -33.398191 },"
150.986521,-33.397766,0,,"{ lng: 150.986521, lat: -33.397766 },"
150.985907,-33.39708,0,,"{ lng: 150.985907, lat: -33.39708 },"
150.985118,-33.395558,0,,"{ lng: 150.985118, lat: -33.395558 },"
150.985031,-33.395023,0,,"{ lng: 150.985031, lat: -33.395023 },"
150.98632,-33.393751,0,,"{ lng: 150.98632, lat: -33.393751 },"
150.986252,-33.392417,0,,"{ lng: 150.986252, lat: -33.392417 },"
150.986075,-33.392231,0,,"{ lng: 150.986075, lat: -33.392231 },"
150.985608,-33.392162,0,,"{ lng: 150.985608, lat: -33.392162 },"
150.985507,-33.391947,0,,"{ lng: 150.985507, lat: -33.391947 },"
150.986352,-33.391405,0,,"{ lng: 150.986352, lat: -33.391405 },"
150.986605,-33.390855,0,,"{ lng: 150.986605, lat: -33.390855 },"
150.985659,-33.389715,0,,"{ lng: 150.985659, lat: -33.389715 },"
150.985511,-33.387556,0,,"{ lng: 150.985511, lat: -33.387556 },"
150.984908,-33.387421,0,,"{ lng: 150.984908, lat: -33.387421 },"
150.984149,-33.38803,0,,"{ lng: 150.984149, lat: -33.38803 },"
150.983971,-33.387849,0,,"{ lng: 150.983971, lat: -33.387849 },"
150.984236,-33.387371,0,,"{ lng: 150.984236, lat: -33.387371 },"
